,balanced_accuracy,balanced_accuracy,f1_score,f1_score,precision,precision,recall,recall
,test,train,test,train,test,train,test,train
aid_centers,0.5042199726742019,0.984650630516283,0.01785714285714286,0.8445297504798465,0.034482758620689655,0.7457627118644068,0.012048192771084338,0.9734513274336283
aid_related,0.6767070395429355,0.9304108110979092,0.6219642584389796,0.9113208681536704,0.6103117505995204,0.8399645350770254,0.6340703830582373,0.9959264126149803
buildings,0.5291814680127116,0.9866889441677906,0.10894941634241245,0.9108216432865732,0.25,0.8487394957983193,0.06965174129353234,0.9827027027027027
clothing,0.5779123056703733,0.9942544106647175,0.24324324324324326,0.9613445378151261,0.5294117647058824,0.934640522875817,0.15789473684210525,0.9896193771626297
cold,0.49984640471739294,0.961646216384078,0.009523809523809525,0.8325242718446603,0.019230769230769232,0.7538461538461538,0.006329113924050633,0.9295392953929539
death,0.560783368542489,0.9789702606740694,0.18992248062015507,0.8641975308641976,0.3161290322580645,0.7785299806576402,0.13573407202216067,0.971049457177322
direct_report,0.6241955388903092,0.955144762887545,0.3950834064969271,0.8999733262203256,0.5769230769230769,0.8559107052257737,0.30040053404539385,0.9488188976377953
earthquake,0.7969956110289147,0.9821800265496721,0.6775193798449612,0.923202170963365,0.7560553633217993,0.8732032854209446,0.6137640449438202,0.9792746113989638
electricity,0.5072804849590564,0.9804372649624702,0.030769230769230767,0.8722157092614302,0.0625,0.7948717948717948,0.02040816326530612,0.9662337662337662
fire,0.4952945726440634,0.9804678251811165,0.0,0.7050092764378479,0.0,0.5539358600583091,0.0,0.9693877551020408
floods,0.6762924033597847,0.9699606505468091,0.4063444108761329,0.7865410497981158,0.40512048192771083,0.6542767577250336,0.4075757575757576,0.9858299595141701
food,0.7333175949807094,0.9869569936953562,0.5892232330300909,0.9553868058851447,0.7451327433628319,0.9289340101522843,0.48726851851851855,0.9833903273082559
hospitals,0.4989061896795779,0.9893879162772246,0.0,0.9019607843137256,0.0,0.8346774193548387,0.0,0.981042654028436
infrastructure_related,0.49944211652571274,0.982364497047354,0.03409090909090909,0.8496023138105567,0.0625,0.7450856055802156,0.0234375,0.9882253994953742
medical_help,0.49157264848556426,0.9595698766096361,0.0481036077705828,0.745265404107762,0.05922551252847381,0.6037165082108902,0.040498442367601244,0.9735191637630662
medical_products,0.49902958104671397,0.9636617900608566,0.04699738903394256,0.693302891933029,0.04568527918781726,0.5387344766410408,0.04838709677419355,0.9722518676627535
military,0.4984850480832565,0.9594331792047376,0.0,0.911764705882353,0.0,0.901453957996769,0.0,0.9223140495867769
missing_people,0.49880261404187626,0.9785809201853979,0.016216216216216217,0.40591133004926105,0.010714285714285714,0.2552664188351921,0.03333333333333333,0.9903846153846154
money,0.5062302197098586,0.9474574767906769,0.028169014084507043,0.849015317286652,0.07142857142857142,0.8033126293995859,0.017543859649122806,0.9002320185614849
offer,0.4997438196490329,0.9440601879807018,0.0,0.8622754491017963,0.0,0.8372093023255814,0.0,0.8888888888888888
other_aid,0.5052401317334335,0.9438072951257288,0.09491525423728814,0.8210902591599643,0.14583333333333334,0.7278200253485425,0.07035175879396985,0.941779417794178
other_infrastructure,0.4986331099660706,0.966335335573291,0.01348314606741573,0.8690058479532164,0.03488372093023256,0.8058568329718004,0.008356545961002786,0.9428934010152284
other_weather,0.5077320169783441,0.9740950392480889,0.04263565891472868,0.8989547038327526,0.12790697674418605,0.8470919324577861,0.02558139534883721,0.9575821845174973
refugees,0.5037026652592691,0.9798459072233345,0.0202020202020202,0.9244094488188976,0.09090909090909091,0.8880484114977307,0.011363636363636364,0.9638752052545156
related,0.5920476739963717,0.8937987317270584,0.8725036069557294,0.9639671034290495,0.8038337764096823,0.9416530501089324,0.9540019926934573,0.9873643632210166
request,0.6877048496270257,0.9529750998705944,0.4868755292125317,0.8562708102108769,0.52367941712204,0.7678526996765365,0.4549050632911392,0.9677014738162434
search_and_rescue,0.4959555924343538,0.9685201708057085,0.028268551236749116,0.5692665890570432,0.023323615160349854,0.4014778325123153,0.03587443946188341,0.978
security,0.4850721425789581,0.9516363248701841,0.004694835680751174,0.5004035512510088,0.0034965034965034965,0.34140969162995594,0.007142857142857143,0.9365558912386707
shelter,0.6254602870349127,0.9892843700495919,0.37723919915700743,0.9491124260355028,0.662962962962963,0.9134396355353075,0.26362297496318116,0.9876847290640394
shops,0.5114680913348946,0.9794429318424784,0.025,0.6007326007326007,0.022222222222222223,0.43617021276595747,0.02857142857142857,0.9647058823529412
storm,0.6005456370380415,0.9764967691372368,0.3196803196803197,0.949648711943794,0.6274509803921569,0.9402898550724638,0.21447721179624665,0.9591957421643997
tools,0.4980120559189432,0.9895007311773537,0.0,0.7816901408450705,0.0,0.6491228070175439,0.0,0.9823008849557522
transport,0.49387696370530876,0.9724596268037441,0.03703703703703704,0.6645443692797454,0.034912718204488775,0.49940191387559807,0.03943661971830986,0.9928656361474435
water,0.7150463903514794,0.9933854400582295,0.5480153649167734,0.9571253572886893,0.722972972972973,0.9242902208201893,0.44123711340206184,0.9923793395427604
weather_related,0.7238807829680831,0.952702882306026,0.6052503646086534,0.8930939959324432,0.6491136600625652,0.8102037542114552,0.5669398907103825,0.9948778565799843
